bag_name,node,scenario,d_estimated_m,d_depth_m,error_m,good_20cm
bag_P1_S1.2_01,yolo,S1.2,2.79,3.9651316709905178,1.1751316709905177,False
bag_P1_S1.2_01,yolo,S1.2,2.81,4.125612737638388,1.315612737638388,False
bag_P1_S1.2_01,yolo,S1.2,2.78,1.8530749225860306,0.9269250774139692,False
bag_P1_S1.2_01,yolo,S1.2,2.61,1.774548693605552,0.835451306394448,False
bag_P1_S1.2_01,yolo,S1.2,2.59,1.7754002161253224,0.8145997838746775,False
bag_P1_S1.2_01,yolo,S1.2,2.53,1.6995137983621547,0.8304862016378451,False
bag_P1_S1.2_01,yolo,S1.2,2.52,1.7049827267501148,0.8150172732498853,False
bag_P1_S1.2_01,yolo,S1.2,2.41,1.5851137439099143,0.8248862560900858,False
bag_P1_S1.2_01,yolo,S1.2,2.4,1.578982565284944,0.8210174347150558,False
bag_P1_S1.2_01,yolo,S1.2,2.38,1.5989606209609828,0.7810393790390171,False
bag_P1_S1.2_01,yolo,S1.2,2.37,1.5867024544086352,0.7832975455913649,False
bag_P1_S1.2_01,yolo,S1.2,2.34,1.4858434806492067,0.8541565193507932,False
bag_P1_S1.2_01,yolo,S1.2,2.32,1.4820983957823726,0.8379016042176273,False
bag_P1_S1.2_01,yolo,S1.2,2.32,1.4474465302875124,0.8725534697124875,False
bag_P1_S1.2_01,yolo,S1.2,2.32,1.4474465302875124,0.8725534697124875,False
bag_P1_S1.2_01,yolo,S1.2,2.28,1.2923048546445588,0.987695145355441,False
bag_P1_S1.2_01,yolo,S1.2,2.25,1.2959238874923662,0.9540761125076338,False
bag_P1_S1.2_01,yolo,S1.2,2.16,1.184076089710657,0.9759239102893431,False
bag_P1_S1.2_01,yolo,S1.2,2.14,1.186976052558019,0.953023947441981,False
bag_P1_S1.2_01,yolo,S1.2,2.1,1.1640658971743398,0.9359341028256603,False
bag_P1_S1.2_01,yolo,S1.2,2.09,1.1654385195904557,0.9245614804095441,False
bag_P1_S1.2_01,yolo,S1.2,2.07,1.140406488940075,0.9295935110599249,False
bag_P1_S1.2_01,yolo,S1.2,2.06,1.1401392228231797,0.9198607771768204,False
bag_P1_S1.2_01,yolo,S1.2,2.04,1.116905981602919,0.923094018397081,False
bag_P1_S1.2_01,yolo,S1.2,2.03,1.116178806107249,0.9138211938927507,False
bag_P1_S1.2_01,yolo,S1.2,2.0,1.076963823378577,0.923036176621423,False
bag_P1_S1.2_01,yolo,S1.2,1.99,1.0710531520390871,0.9189468479609129,False
bag_P1_S1.2_01,yolo,S1.2,1.97,1.0622551328948833,0.9077448671051167,False
bag_P1_S1.2_01,yolo,S1.2,1.97,1.057199362692858,0.912800637307142,False
bag_P1_S1.2_01,yolo,S1.2,1.95,1.0692221986995436,0.8807778013004564,False
bag_P1_S1.2_01,yolo,S1.2,1.94,1.0665393044735958,0.8734606955264042,False
